Timestamp,CO2,Temperature,Humidity,Pressure
2024-08-28 19:12:21,532.0,100.0,48.9,983.9
2024-08-28 19:22:21,532.0,100.0,48.9,983.8
2024-08-28 19:32:21,535.0,100.0,48.9,983.6
2024-08-28 19:42:21,534.0,100.0,49.0,983.5
2024-08-28 19:52:21,531.0,100.0,48.9,983.4
2024-08-28 20:02:22,532.0,100.0,48.8,983.3
2024-08-28 20:12:22,528.0,100.0,48.9,983.2
2024-08-28 20:22:22,526.0,100.0,48.8,983.1
2024-08-28 20:32:22,530.0,100.0,48.7,983.0
2024-08-28 20:42:22,521.0,100.0,48.6,983.0
2024-08-28 20:52:22,525.0,100.0,48.5,982.8
2024-08-28 21:02:22,522.0,100.0,48.3,982.8
2024-08-28 21:12:22,511.0,100.0,48.3,982.7
2024-08-28 21:22:22,507.0,100.0,48.3,982.6
2024-08-28 21:32:23,506.0,100.0,48.3,982.5
2024-08-28 21:42:23,500.0,100.0,48.4,982.4
2024-08-28 21:52:23,498.0,100.0,48.3,982.4
2024-08-28 22:02:23,494.0,100.0,48.4,982.3
2024-08-28 22:12:23,490.0,100.0,48.4,982.3
2024-08-28 22:22:23,485.0,100.0,48.4,982.3
2024-08-28 22:32:23,483.0,100.0,48.4,982.2
2024-08-28 22:42:24,491.0,100.0,48.4,982.2
2024-08-28 22:52:24,479.0,100.0,48.4,982.2
2024-08-28 23:02:24,485.0,100.0,48.6,982.2
2024-08-28 23:12:24,472.0,100.0,48.5,982.2
2024-08-28 23:22:24,466.0,100.0,48.5,982.3
2024-08-28 23:32:24,467.0,100.0,48.5,982.4
2024-08-28 23:42:24,463.0,100.0,48.5,982.4
2024-08-28 23:52:25,464.0,100.0,48.5,982.4
2024-08-29 00:02:25,463.0,100.0,48.5,982.5
2024-08-29 00:12:25,464.0,100.0,48.0,982.6
2024-08-29 00:22:25,458.0,100.0,47.3,982.7
2024-08-29 00:32:25,458.0,100.0,46.9,982.9
2024-08-29 00:42:25,460.0,100.0,46.7,983.0
2024-08-29 00:52:25,459.0,100.0,46.3,983.1
2024-08-29 01:02:26,454.0,100.0,46.1,983.2
2024-08-29 01:12:26,457.0,100.0,46.0,983.4
2024-08-29 01:22:26,456.0,100.0,45.9,983.5
2024-08-29 01:32:26,456.0,100.0,45.7,983.7
2024-08-29 01:42:26,455.0,100.0,45.5,983.9
2024-08-29 01:52:26,454.0,100.0,45.4,984.1
2024-08-29 02:02:26,451.0,100.0,45.5,984.3
2024-08-29 02:12:26,457.0,100.0,45.5,984.5
2024-08-29 02:22:26,455.0,100.0,45.4,984.5
2024-08-29 02:32:27,456.0,100.0,45.3,984.6
2024-08-29 02:42:27,452.0,100.0,45.2,984.6
2024-08-29 02:52:27,455.0,100.0,44.9,984.5
2024-08-29 03:02:27,451.0,100.0,44.9,984.6
2024-08-29 03:12:27,449.0,100.0,44.7,984.6
2024-08-29 03:22:27,453.0,100.0,44.4,984.6
2024-08-29 03:32:27,453.0,100.0,44.3,984.7
2024-08-29 03:42:28,450.0,100.0,44.1,984.7
2024-08-29 03:52:28,454.0,100.0,44.1,984.8
2024-08-29 04:02:28,454.0,100.0,44.2,984.8
2024-08-29 04:12:28,455.0,100.0,44.2,984.8
2024-08-29 04:22:28,455.0,100.0,44.2,984.8
2024-08-29 04:32:28,457.0,100.0,44.1,984.8
2024-08-29 04:42:28,461.0,100.0,44.2,984.8
2024-08-29 04:52:28,460.0,100.0,44.0,984.8
2024-08-29 05:02:28,463.0,100.0,43.9,984.7
2024-08-29 05:12:29,463.0,100.0,44.0,984.7
2024-08-29 05:22:29,464.0,100.0,44.0,984.6
2024-08-29 05:32:29,463.0,100.0,44.0,984.6
2024-08-29 05:42:29,463.0,100.0,44.1,984.6
2024-08-29 05:52:29,464.0,100.0,44.1,984.7
2024-08-29 06:02:29,459.0,100.0,43.8,984.7
2024-08-29 06:12:30,458.0,100.0,43.9,984.7
2024-08-29 06:22:30,454.0,100.0,43.7,984.6
2024-08-29 06:32:30,450.0,100.0,43.6,984.5
2024-08-29 06:42:30,452.0,100.0,43.7,984.4
2024-08-29 06:52:30,451.0,100.0,43.7,984.3
2024-08-29 07:02:30,448.0,100.0,43.5,984.3
2024-08-29 07:12:30,447.0,100.0,43.6,984.2
2024-08-29 07:22:30,449.0,100.0,43.6,984.1
2024-08-29 07:32:30,446.0,100.0,43.6,984.1
2024-08-29 07:42:31,447.0,100.0,43.6,984.0
2024-08-29 07:52:31,445.0,100.0,43.6,984.0
2024-08-29 08:02:31,441.0,100.0,43.4,984.0
2024-08-29 08:12:31,444.0,100.0,43.6,984.0
2024-08-29 08:22:31,441.0,100.0,43.5,984.0
2024-08-29 08:32:31,440.0,100.0,43.5,984.0
2024-08-29 08:42:31,442.0,100.0,43.4,984.1
2024-08-29 08:52:31,440.0,100.0,43.3,984.1
2024-08-29 09:02:32,441.0,100.0,43.3,984.1
2024-08-29 09:12:32,443.0,100.0,43.2,984.1
2024-08-29 09:22:32,443.0,100.0,43.1,984.3
2024-08-29 09:32:32,443.0,100.0,43.1,984.3
2024-08-29 09:42:32,444.0,100.0,42.9,984.4
2024-08-29 09:52:32,441.0,100.0,43.5,984.5
2024-08-29 10:02:32,440.0,100.0,43.6,984.5
2024-08-29 10:12:33,441.0,100.0,44.5,984.6
2024-08-29 10:22:33,440.0,100.0,45.4,984.8
2024-08-29 10:32:33,443.0,100.0,45.7,984.9
2024-08-29 10:42:33,444.0,100.0,45.7,985.0
2024-08-29 10:52:33,447.0,100.0,45.9,985.1
2024-08-29 11:02:33,446.0,100.0,46.3,985.2
2024-08-29 11:12:33,447.0,100.0,46.3,985.3
2024-08-29 11:22:33,454.0,100.0,46.4,985.4
2024-08-29 11:32:34,453.0,100.0,46.5,985.5
2024-08-29 11:42:34,451.0,100.0,46.7,985.6
2024-08-29 11:52:34,454.0,100.0,46.8,985.7
2024-08-29 12:02:34,461.0,100.0,46.8,985.7
2024-08-29 12:12:34,483.0,100.0,46.8,985.7
2024-08-29 12:22:34,471.0,100.0,46.8,985.8
2024-08-29 12:32:35,473.0,100.0,46.8,985.8
2024-08-29 12:42:34,491.0,100.0,46.9,985.8
2024-08-29 12:52:35,502.0,100.0,47.3,985.9
2024-08-29 13:02:35,496.0,100.0,47.8,986.0
2024-08-29 13:12:35,494.0,100.0,48.2,986.1
